ProdSalesCode,p,d,q,P,D,Q,M
06820302CA_8177,1,0,2,2,1,1,9
06821300CA_1047,3,0,1,1,1,2,9
06821300CA_1213,3,1,2,2,1,1,9
06821300CA_1216,1,0,2,2,1,3,3
06821300CA_1259,1,0,1,3,0,1,3
06821300CA_1328,1,1,1,3,1,3,3
06821300CA_2059,3,0,3,2,1,3,6
06821300CA_2065,3,0,1,1,0,1,6
06821300CA_2090,2,1,3,2,0,2,0
06821300CA_2107,2,1,1,1,0,3,3
06821300CA_2135,1,0,2,1,1,2,12
06821300CA_2137,1,0,1,3,1,1,3
06821300CA_2164,1,0,2,1,1,1,6
06821300CA_2217,2,1,1,2,0,3,0
06821300CA_2244,1,1,2,2,0,2,9
06821300CA_2337,1,1,2,3,1,1,12
06821300CA_2378,2,1,1,2,1,1,6
06821300CA_3973,1,0,1,3,0,2,12
06821300CA_3993,1,0,1,2,0,3,6
06821300CA_8165,3,1,2,1,1,2,12
06830002CA_1005,3,1,2,3,0,3,3
06830002CA_1034,1,1,1,1,0,3,3
06830002CA_1038,2,1,1,1,0,3,9
06830002CA_1235,1,1,3,1,1,2,12
06830002CA_1259,1,0,3,2,1,2,3
06830002CA_2059,3,1,1,1,0,2,9
06830002CA_2065,2,1,2,2,0,3,3
06830002CA_2137,3,0,1,3,0,3,6
06830002CA_2244,1,1,2,3,0,2,6
06830002CA_2369,1,1,2,2,1,3,6
06830002CA_2378,1,0,2,2,0,3,9
06830002CA_3971,1,1,3,1,1,3,3
06840106CA_1005,3,1,3,3,1,2,12
06840106CA_1015,2,1,3,1,0,2,12
06840106CA_1034,1,0,3,2,1,1,12
06840106CA_1038,1,1,1,3,0,2,3
06840106CA_1099,3,0,2,2,0,1,9
06840106CA_1216,3,0,3,2,1,1,9
06840106CA_1289,2,0,1,2,0,1,9
06840106CA_1602,1,0,1,1,0,1,12
06840106CA_1986,1,0,1,3,0,1,12
06840106CA_2059,1,0,1,2,1,1,6
06840106CA_2065,1,0,3,1,1,2,3
06840106CA_2090,3,0,2,2,1,1,9
06840106CA_2107,3,0,1,1,0,1,9
06840106CA_2137,3,0,2,1,0,2,6
06840106CA_2217,3,0,2,1,1,2,9
06840106CA_2352,1,0,1,3,1,2,12
06840106CA_2353,3,1,2,3,0,1,3
06840106CA_2358,3,1,3,3,1,2,9
06840106CA_2378,3,0,2,1,1,2,6
06840106CA_8141,3,0,3,3,0,1,6
06840401AO_1707,1,0,1,3,1,2,12
06863108CA_1006,2,1,1,3,1,2,3
06863108CA_1019,2,0,3,3,1,3,3
06863108CA_1034,3,1,1,1,0,2,9
06863108CA_1038,3,1,2,1,1,2,3
06863108CA_1047,3,1,1,1,1,1,9
06863108CA_1053,1,0,1,1,0,2,0
06863108CA_1080,1,1,1,3,0,3,3
06863108CA_1099,2,1,2,1,1,2,3
06863108CA_1213,2,0,3,1,1,1,3
06863108CA_1216,2,0,1,3,1,1,9
06863108CA_1230,3,1,3,3,1,1,9
06863108CA_1259,2,1,2,3,0,2,9
06863108CA_1328,2,1,2,3,1,1,9
06863108CA_2051,3,0,1,1,0,1,0
06863108CA_2059,1,0,2,3,1,2,9
06863108CA_2061,3,1,1,1,1,1,6
06863108CA_2062,3,0,3,2,1,3,3
06863108CA_2065,2,0,1,2,0,2,12
06863108CA_2071,1,1,3,2,1,1,6
06863108CA_2090,2,1,3,3,1,1,9
